2,5,5,16,1,19,30,510
5,5,5,23,2,18,29,598
19,4,4,20,2,13,30,700
13,4,2,12,2,5,34,790
2,4,2,16,1,5,31,820
18,8,2,20,3,10,48,850
18,9,7,25,1,7,34,920
17,5,1,13,1,6,35,954
21,11,10,14,1,8,38,980
10,12,6,21,1,4,39,1020
19,5,4,35,6,9,41,1080
20,5,2,15,1,10,35,1090
21,13,8,16,1,9,38,1200
8,5,2,17,2,4,30,1280
17,6,3,26,1,7,39,1280
10,15,6,16,1,3,38,1300
4,5,5,17,2,3,29,1330
14,91,3,19,2,5,26,1350
2,7,6,19,3,4,40,1380
6,7,1,30,3,1,39,1380
15,9,5,20,1,6,40,1380
20,8,5,17,1,1,34,1380
11,5,3,19,2,2,21,1400
2,7,1,20,2,7,12,1450
20,12,3,23,2,10,34,1450
14,10,10,17,3,4,40,1480
19,9,2,40,4,8,44,1480
2,13,8,28,4,9,44,1490
5,5,5,66,10,8,34,1500
0,3,3,53,10,3,37,1530
15,81,5,19,1,2,33,1560
12,9,7,36,6,3,39,1580
19,4,4,39,6,12,44,1588
17,11,7,27,1,8,39,1600
9,5,3,18,2,3,23,1650
2,10,4,34,1,6,44,1680
9,10,7,39,4,3,44,1680
13,10,3,25,1,12,47,1680
18,111,4,26,3,7,52,1680
18,8,3,51,7,7,48,1690
13,5,2,20,2,9,14,1698
17,92,2,42,4,5,51,1699
18,3,3,30,1,7,45,1700
4,4,1,31,6,11,24,1750
3,9,4,47,6,6,43,1780
9,8,1,37,3,10,52,1780
12,12,5,22,1,2,7,1780
19,2,2,80,10,16,35,1780
20,5,1,30,14,10,39,1780
6,14,4,52,6,5,38,1790
5,9,6,40,6,5,39,1799
2,4,2,68,10,5,37,1800
14,7,6,37,2,5,30,1800
2,11,9,44,6,6,44,1850
13,41,4,41,4,13,36,1880
18,10,5,22,2,4,10,1880
0,8,5,62,10,9,33,1890
4,9,8,36,4,7,40,1899
4,7,3,20,1,5,12,1900
17,11,3,28,3,9,28,1940
0,7,3,56,10,18,27,1980
1,9,9,28,6,7,40,1980
5,7,7,54,7,23,28,1980
8,51,3,36,1,6,44,1980
11,6,2,41,6,3,50,1980
13,14,4,34,3,8,45,1980
19,4,3,40,6,6,38,1980
17,51,3,26,3,5,36,1990
4,8,1,35,4,4,42,1998
13,6,4,40,4,20,41,1999
10,111,2,26,1,3,39,2000
11,81,2,21,2,5,9,2050
4,9,4,34,4,7,40,2080
10,8,4,23,1,6,35,2080
16,13,4,22,2,4,13,2080
20,11,5,46,6,4,53,2080
1,15,5,35,3,10,11,2100
21,81,5,20,1,12,23,2100
2,5,3,53,9,8,40,2180
5,11,1,57,10,9,34,2180
8,4,4,46,6,2,38,2180
13,31,1,25,2,6,12,2180
15,11,7,34,5,4,38,2180
18,12,3,34,1,5,45,2180
22,5,3,37,6,4,52,2180
3,8,8,61,10,12,44,2190
2,5,4,57,7,5,45,2199
19,7,5,51,4,7,47,2199
21,7,2,21,2,2,37,2199
1,8,4,44,4,10,36,2250
0,5,2,46,9,18,28,2280
4,10,7,44,5,4,39,2280
8,10,3,38,4,5,50,2280
13,31,1,25,2,9,9,2280
16,13,5,22,2,1,13,2280
22,4,4,28,3,5,35,2280
4,9,1,37,1,6,39,2290
12,11,3,43,4,6,39,2290
0,11,2,66,10,16,38,2299
21,10,5,20,1,3,42,2299
22,4,1,33,4,10,37,2300
9,12,4,29,1,4,48,2350
0,31,1,66,10,20,29,2370
0,9,3,64,14,15,13,2380
2,7,1,54,10,13,31,2380
7,11,3,46,4,4,37,2380
8,8,3,37,6,1,45,2380
11,81,6,30,3,9,19,2380
14,8,5,42,4,1,40,2380
18,8,2,39,4,2,47,2380
0,13,12,64,10,,18,2390
4,7,3,42,6,4,49,2390
18,7,2,31,3,5,35,2390
13,4,2,36,7,8,42,2398
7,7,1,40,4,2,45,2399
0,31,3,66,10,11,29,2480
2,5,2,53,7,10,27,2480
4,4,1,40,6,5,40,2480
5,51,2,64,7,6,15,2480
7,11,9,40,4,13,34,2480
10,61,6,36,3,6,54,2480
13,3,1,55,9,21,35,2480
0,8,8,54,7,15,22,2490
0,7,3,50,7,13,24,2490
3,9,1,84,14,16,43,2490
13,5,1,50,4,8,44,2490
13,7,1,45,7,6,50,2498
3,7,4,53,14,13,23,2499
18,7,3,35,3,3,50,2499
9,12,5,29,6,4,48,2500
14,10,8,29,2,1,33,2540
22,10,6,23,1,4,40,2570
4,10,7,48,7,1,40,2580
7,6,6,45,6,9,29,2580
10,14,7,42,1,5,44,2580
